Model,Java Method,Human Written Comment,PoS Tagging of Human Written Comment,Model's Prediction,PoS Tagging of Model's Prediction,Round,Score,Normalized Score,Bleu Score
,public void settempdirpath(string tempdirpath) { m_tempdirpath = tempdirpath; },set the path for the temporary files,set_VBD the_DT path_NN for_IN the_DT temporary_JJ files_NNS,sets the directory path to the directory,sets_VBZ the_DT directory_NN path_NN to_IN the_DT directory_NN,2.0,-2.0,0.09,0.43
,public TagLookupRequest withResponseGroup(String... values) { for (String value: values) { getResponseGroup().add(value); } return this; },sets the value of the responsegroup property,sets_VBZ the_DT value_NN of_IN the_DT responsegroup_JJ property_NN,returns a new with the given var,returns_VBZ a_DT new_JJ with_IN the_DT given_VBN var_NN,1.0,2.0,0.45,0.14
,public float getSeparation() { return separation; },get the seperation between bodies,get_VB the_DT separation_NN between_IN bodies_NNS,gets the,gets_VBZ the_DT,1.0,1.0,0.36,0.11
,public void callApplicationOnCreate(Application app) { app.onCreate(); },perform calling of the application's method the default implementation simply calls through to that method,perform_VBP calling_VBG of_IN the_DT application_NN 's_POS method_NN the_DT default_NN implementation_NN simply_RB calls_VBZ through_IN to_IN that_DT method_NN,create an application var,create_VB an_DT application_NN var_NN,1.0,2.0,0.45,0.0
NeuralCodeSum,public Boolean isIsFragile() { return isFragile; },gets the value of the isfragile property,gets_VBZ the_DT value_NN of_IN the_DT isfragile_JJ property_NN,gets the } value for this },gets_VBZ the_DT }_-RRB- value_NN for_IN this_DT }_-RRB-,1.0,-2.0,0.09,0.43
,public ItemAttributes withTotalParallelPorts(BigInteger value) { setTotalParallelPorts(value); return this; },sets the value of the totalparallelports property,sets_VBZ the_DT value_NN of_IN the_DT totalparallelports_NNS property_NN,sets the total number of items in the range },sets_VBZ the_DT total_JJ number_NN of_IN items_NNS in_IN the_DT range_NN }_-RRB-,1.0,2.0,0.45,0.4
,public int size() { return bytes.length; },gets the number of bytes,gets_VBZ the_DT number_NN of_IN bytes_NNS,returns the number of elements in this list,returns_VBZ the_DT number_NN of_IN elements_NNS in_IN this_DT list_NN,1.0,2.0,0.45,0.38
,public boolean contains(CharSequence cs) { if (cs == null) { throw new NullPointerException(); } return indexOf(cs.toString()) >= 0; },determines if this contains the sequence of characters in the passed,determines_VBZ if_IN this_DT contains_VBZ the_DT sequence_NN of_IN characters_NNS in_IN the_DT passed_VBN,removes the specified charsequence from this },removes_VBZ the_DT specified_VBN charsequence_NN from_IN this_DT }_-RRB-,1.0,2.0,0.45,0.16
,private boolean hasMoreFixedGroups(long time) { long nextTime = -1L; Iterator ifg = fixedGroups.iterator(); while (ifg.hasNext()) { FixedGroup fg = (FixedGroup) ifg.next(); long fgtime = fg.getFixedTime(); if (fgtime + fixedGroupPostStartLapseTime > time) { if (fgtime > nextTime) { nextTime = fgtime; } } } if (nextTime > 0) return true; return false; },returns true if there are any (executable) fixed groups after time,returns_NNS true_JJ if_IN there_EX are_VBP any_DT (_-LRB- executable_JJ )_-RRB- fixed_VBN groups_NNS after_IN time_NN,returns true if the next } has more than one time,returns_VBZ true_JJ if_IN the_DT next_JJ }_-RRB- has_VBZ more_JJR than_IN one_CD time_NN,1.0,2.0,0.45,0.36
,"public void setDockingDesktop(DockingDesktop desktop){ this.desktop = desktop; DockableState [] states = desktop.getDockables(); Arrays.sort(states); this.model = new DockablesTableModel(states); table.setModel(model); table.getColumnModel().getColumn(0).setPreferredWidth(25); table.getColumnModel().getColumn(1).setPreferredWidth(200); table.getColumnModel().getColumn(2).setPreferredWidth(70); table.setPreferredScrollableViewportSize(new Dimension(300,300)); table.setCellSelectionEnabled(true); table.setShowVerticalLines(false); table.setRowHeight(20); }",requiered to initialize this dialog <p> invoke this method before packing the dialog,requiered_VBN to_IN initialize_VB this_DT dialog_NN <p>_NN invoke_VB this_DT method_NN before_IN packing_VBG the_DT dialog_NN,sets the states of the },sets_VBZ the_DT states_NNS of_IN the_DT }_-RRB-,1.0,2.0,0.45,0.05
,public double getValue(Long time) { return valueMap.get(time); },returns a value for given point in time,returns_VBZ a_DT value_NN for_IN given_VBN point_NN in_IN time_NN,returns the value of the } field of this object,returns_VBZ the_DT value_NN of_IN the_DT }_-RRB- field_NN of_IN this_DT object_NN,1.0,2.0,0.45,0.2
,"public void moveUpCandidateButtonPressed() { if (candidatesTable.getEditingRow() == -1) { int idx = candidatesTable.getSelectedRow(); if (idx > 0) { int newIdx = idx - 1; tableModel.moveRow( idx, newIdx ); candidatesTable.clearSelection(); candidatesTable.addRowSelectionInterval( newIdx, newIdx ); } } }",moves the current candidate up one,moves_VBZ the_DT current_JJ candidate_NN up_IN one_CD,move the selected candidate,move_VB the_DT selected_VBN candidate_NN,1.0,8.0,1.0,0.3
,"public void cleanUpOldFiles(File basedir, String prefix) { File [] files = FileUtils.getFilesWithPrefix(basedir, prefix); if (files != null) { for (int i = 0; i < files.length; i++) { FileUtils.deleteDir(files[i]); } } }",delete any files left over from previous run,delete_VB any_DT files_NNS left_VBD over_RP from_IN previous_JJ run_NN,cleans up the },cleans_VBZ up_RP the_DT }_-RRB-,1.0,1.0,0.36,0.0
,"public void testGetFacilityString() { String expected = ""kern user mail daemon auth syslog lpr news "" + ""uucp cron authpriv ftp local0 local1 local2 local3 "" + ""local4 local5 local6 local7 ""; StringBuffer actual = new StringBuffer(); for (int i = 0; i <= 11; i++) { actual.append(SyslogAppender.getFacilityString(i << 3)); actual.append(' '); } for (int i = 16; i <= 23; i++) { actual.append(SyslogAppender.getFacilityString(i << 3)); actual.append(' '); } assertEquals(expected, actual.toString()); }",test getfacilitystring for expected facility codes,test_NN getfacilitystring_VBG for_IN expected_VBN facility_NN codes_NNS,tests the } method,tests_VBZ the_DT }_-RRB- method_NN,1.0,2.0,0.45,0.0
,"public void testFormatResize() { Logger logger = Logger.getLogger(""org.apache.log4j.xml.PatternLayoutTest""); NDC.clear(); char[] msg = new char[2000]; for (int i = 0; i < msg.length; i++) { msg[i] = 'A'; } LoggingEvent event1 = new LoggingEvent( ""org.apache.log4j.Logger"", logger, Level.DEBUG, new String(msg), null); PatternLayout layout = (PatternLayout) createLayout(); String result = layout.format(event1); LoggingEvent event2 = new LoggingEvent( ""org.apache.log4j.Logger"", logger, Level.WARN, ""Hello, World"", null); result = layout.format(event2); assertEquals(""["", result.substring(0, 1)); }",tests buffer downsizing code path,tests_NNS buffer_NN downsizing_NN code_NN path_NN,this test checks the } method,this_DT test_NN checks_NNS the_DT }_-RRB- method_NN,1.0,2.0,0.45,0.0
Code2Seq,public ItemAttributes withTotalParallelPorts(BigInteger value) { setTotalParallelPorts(value); return this; },sets the value of the totalparallelports property,sets_VBZ the_DT value_NN of_IN the_DT totalparallelports_NNS property_NN,returns the with the given var,returns_VBZ the_DT with_IN the_DT given_VBN var_NN,1.0,2.0,0.45,0.28
,"protected IQ errorMalformedStanza(IQ iq) { return createError(iq.getPacketID(), iq.getFrom(), getConnection().getUser(), 400, ""Bad Request""); }",send an error indicating that the stanza is malformed,send_VB an_DT error_NN indicating_VBG that_IN the_DT stanza_NN is_VBZ malformed_JJ,returns the error message for the given var,returns_VBZ the_DT error_NN message_NN for_IN the_DT given_VBN var_NN,1.0,2.0,0.45,0.22
,public UnicodeSet addAll(Collection<?> source) { checkFrozen(); for (Object o : source) { add(o.toString()); } return this; },add the contents of the unicodeset (as strings) into a collection uses standard naming convention,add_VB the_DT contents_NNS of_IN the_DT unicodeset_NN (_-LRB- as_IN strings_NNS )_-RRB- into_IN a_DT collection_NN uses_VBZ standard_JJ naming_NN convention_NN,adds all the var in the given var to this set,adds_VBZ all_PDT the_DT var_NN in_IN the_DT given_VBN var_NN to_IN this_DT set_NN,1.0,-2.0,0.09,0.13
,private int countQuestionMarks(String statement) { int count=0; for (char c: statement.toCharArray()) if (c=='?') count++; return count; },used to initialise the paramaters array to the correct size,used_VBN to_TO initialise_VB the_DT paramaters_NNS array_NN to_IN the_DT correct_JJ size_NN,returns the number of questions in the given var,returns_VBZ the_DT number_NN of_IN questions_NNS in_IN the_DT given_VBN var_NN,1.0,2.0,0.45,0.2
,"public void adjustStreamVolume(int streamType, int direction, int flags) { IAudioService service = getService(); try { service.adjustStreamVolume(streamType, direction, flags); } catch (RemoteException e) { Log.e(TAG, ""Dead object in adjustStreamVolume"", e); } }",adjusts the volume of a particular stream by one step in a direction,adjusts_VBZ the_DT volume_NN of_IN a_DT particular_JJ stream_NN by_IN one_CD step_NN in_IN a_DT direction_NN,adjusts the volume of a var,adjusts_VBZ the_DT volume_NN of_IN a_DT var_NN,1.0,2.0,0.45,0.26
,"public void setVibrateSetting(int vibrateType, int vibrateSetting) { IAudioService service = getService(); try { service.setVibrateSetting(vibrateType, vibrateSetting); } catch (RemoteException e) { Log.e(TAG, ""Dead object in setVibrateSetting"", e); } }",sets the setting for when the vibrate type should vibrate,sets_VBZ the_DT setting_NN for_IN when_WRB the_DT vibrate_NN type_NN should_MD vibrate_VB,sets the var of the var,sets_VBZ the_DT var_NN of_IN the_DT var_NN,1.0,-2.0,0.09,0.26
,public boolean canredo() { return indexofnextadd < history.size(); },returns true if a redo is possible,returns_VBZ true_JJ if_IN a_DT redo_VB is_VBZ possible_JJ,returns true if the history can be redone,returns_NNS true_JJ if_IN the_DT history_NN can_MD be_VB redone_NN,2.0,8.0,1.0,0.38
NeuralCodeSum,public void setprojectviewcontroller(projectviewcontroller controller){ this.projectviewcontroller = controller; },if attaching it to the projectdetailview,if_IN attaching_VBG it_PRP to_IN the_DT projectdetailview_NN,set the controller for this controller,set_VBN the_DT controller_NN for_IN this_DT controller_NN,1.0,-2.0,0.09,0.17
,public boolean isFirstPage() { return (index <= 1); },is the current page the first page?,is_VBZ the_DT current_JJ page_NN the_DT first_JJ page_NN ?_.,returns true if the first page is the first page,returns_VBZ true_JJ if_IN the_DT first_JJ page_NN is_VBZ the_DT first_JJ page_NN,1.0,4.0,0.64,0.5
,"public void testDouble() throws Exception { DoubleObj x = new DoubleObj(1.23456789); String json = trans.serializeToJsonString(x); assertEquals(""{\""value\"":1.23456789}"", json); DoubleObj y = (DoubleObj) trans.deserializeFromJsonString(json, DoubleObj.class); assertEquals(x, y); Map m = (Map) trans.deserializeFromJsonString(json); assertEquals(new Double(1.23456789), m.get(""value"")); }",test (de)serialization of double,test_NN (_-LRB- de_FW )_-RRB- serialization_NN of_IN double_JJ,tests the conversion of a double as a double,tests_VBZ the_DT conversion_NN of_IN a_DT double_JJ as_IN a_DT double_JJ,1.0,-2.0,0.09,0.22
,public LogicalExpression getRhs() throws IOException { return (LogicalExpression)plan.getSuccessors(this).get(2); },get the right hand side of this expression,get_VB the_DT right_JJ hand_NN side_NN of_IN this_DT expression_NN,returns an expression that is used to represent the logical logical expression of this expression if the expression is an expression or if the expression is not a } then the expression is returned,returns_NNS an_DT expression_NN that_WDT is_VBZ used_VBN to_TO represent_VB the_DT logical_JJ logical_JJ expression_NN of_IN this_DT expression_NN if_IN the_DT expression_NN is_VBZ an_DT expression_NN or_CC if_IN the_DT expression_NN is_VBZ not_RB a_DT }_-RRB- then_RB the_DT expression_NN is_VBZ returned_VBN,1.0,-2.0,0.09,0.12
,public void setMaxOpenFiles(final int maxOpenFiles) { this.maxOpenFiles = maxOpenFiles; },limit the number of file descriptors the library will open concurrently when flushing dirty pages from the cache,limit_VB the_DT number_NN of_IN file_NN descriptors_NNS the_DT library_NN will_MD open_VB concurrently_RB when_WRB flushing_VBG dirty_JJ pages_NNS from_IN the_DT cache_NN,sets the maximum number of open files to open,sets_VBZ the_DT maximum_JJ number_NN of_IN open_JJ files_NNS to_TO open_VB,1.0,-2.0,0.09,0.16
,public String getDescString() { return PGridMessage.DESC_INIT_RESP_STRING; },returns the representation string for a descriptor of a message,returns_VBZ the_DT representation_NN string_NN for_IN a_DT descriptor_NN of_IN a_DT message_NN,returns the description of the description ,returns_NNS the_DT description_NN of_IN the_DT description_NN,1.0,-2.0,0.09,0.28
,public Builder setTitle(int titleId) { P.mTitle = P.mContext.getText(titleId); return this; },set the title using the given resource id,set_VBD the_DT title_NN using_VBG the_DT given_VBN resource_NN id_NN,sets the title of the title,sets_VBZ the_DT title_NN of_IN the_DT title_NN,1.0,-2.0,0.09,0.36
,"public StringBuilder append(CharSequence csq, int start, int end) { append0(csq, start, end); return this; }","appends the string representation of the specified subsequence of the if the is , then the string is used to extract the subsequence from","appends_VBZ the_DT string_NN representation_NN of_IN the_DT specified_VBN subsequence_NN of_IN the_DT if_IN the_DT is_VBZ ,_, then_RB the_DT string_NN is_VBZ used_VBN to_TO extract_VB the_DT subsequence_NN from_IN",appends the specified characters of the specified charsequence to this sequence the argument is appended to this sequence at the end of this sequence the length of this sequence increases by the length of the argument the length of this sequence increases by the length of the argument the length,appends_VBZ the_DT specified_VBN characters_NNS of_IN the_DT specified_VBN charsequence_NN to_IN this_DT sequence_NN the_DT argument_NN is_VBZ appended_VBN to_IN this_DT sequence_NN at_IN the_DT end_NN of_IN this_DT sequence_NN the_DT length_NN of_IN this_DT sequence_NN increases_NNS by_IN the_DT length_NN of_IN the_DT argument_NN the_DT length_NN of_IN this_DT sequence_NN increases_NNS by_IN the_DT length_NN of_IN the_DT argument_NN the_DT length_NN,1.0,-2.0,0.09,0.24
,public boolean multiValidNomerator(String snemo){ int nemo = -1; try{ nemo = Integer.parseInt(snemo); } catch ( NumberFormatException e) { return false; } if( nemo != -1 && snemo.length() == 2 && 1 <= nemo && nemo <= 64 ){ numerator = nemo; return true; } return false; },checks if the input is a valid nomerator input is a string,checks_NNS if_IN the_DT input_NN is_VBZ a_DT valid_JJ nomerator_NN input_NN is_VBZ a_DT string_NN,validate the multi multi multi multi },validate_VB the_DT multi_AFX multi_AFX multi_AFX multi_AFX }_-RRB-,,-3.0,0.0,0.07
Code2Seq,public string getschema() { return fschema; },returns a path to the xml schema of a extension point,returns_VBZ a_DT path_NN to_IN the_DT xml_NN schema_NN of_IN a_DT extension_NN point_NN,returns the schema schema,returns_VBZ the_DT schema_NN schema_NN,2.0,-2.0,0.09,0.13
,"private void indexbyid() { if (sessionsbyid == null) { sessionsbyid = new hashmap<bytearray, sslsession>(); for (sslsession session : sessions.values()) { sessionsbyid.put(new bytearray(session.getid()), session); } } }",ensures that the id-based index is initialized,ensures_VBZ that_IN the_DT id_NN -_HYPH based_VBN index_NN is_VBZ initialized_VBN,returns the session id id,returns_VBZ the_DT session_NN id_NN id_NN,2.0,-2.0,0.09,0.13
,public boolean getMissingMerge () { return m_missing_merge; },get whether missing values are being distributed or not,get_VB whether_IN missing_VBG values_NNS are_VBP being_VBG distributed_VBN or_CC not_RB,returns whether the merged entries are missing are missing,returns_VBZ whether_IN the_DT merged_JJ entries_NNS are_VBP missing_VBG are_VBP missing_VBG,2.0,-2.0,0.09,0.33
,"public String numRulesTipText() { return ""Number of rules to find.""; }",returns the tip text for this property,returns_VBZ the_DT tip_NN text_NN for_IN this_DT property_NN,returns the text of the text of the current text,returns_NNS the_DT text_NN of_IN the_DT text_NN of_IN the_DT current_JJ text_NN,2.0,-2.0,0.09,0.3
,"public void testControlCharacterReplacement4() { CharacterReplacer cReplacer; String aInput, aResult; try { aInput = ""This is a test, 123.""; cReplacer = Perl5Parser.makeReplacer( ""/\\x20-\\x2F\\xA0\\xAF/\\cG/s"" ); aResult = cReplacer.doReplacement( aInput ); assertEquals( ""This\007is\007a\007test\007123\007"", aResult ); assertEquals( 6, cReplacer.getMatches() ); } catch( CharacterParseException eParse ) { fail( eParse.toString() ); } }",test control character handling control characters in perl are escaped using the \cx escape sequence this uses the perl5parse utility class,test_NN control_NN character_NN handling_VBG control_NN characters_NNS in_IN perl_NN are_VBP escaped_VBN using_VBG the_DT \_NN cx_NN escape_NN sequence_NN this_DT uses_VBZ the_DT perl5parse_NN utility_NN class_NN ,test method for } has no character character,test_NN method_NN for_IN }_-RRB- has_VBZ no_DT character_NN character_NN,1.0,-2.0,0.09,0.05
,public boolean isFirstPage() { return (index <= 1); },is the current page the first page?,is_VBZ the_DT current_JJ page_NN the_DT first_JJ page_NN ?_.,returns whether the first page is the first page,returns_VBZ whether_IN the_DT first_JJ page_NN is_VBZ the_DT first_JJ page_NN,1.0,4.0,0.64,0.56
,private void installSubcomponents() { createActions(); createButtons(); add(iconifyButton); add(toggleButton); add(closeButton); },adds any sub-components contained in the quaquatitlepane,adds_VBZ any_DT sub-components_NNS contained_VBD in_IN the_DT quaquatitlepane_NN,installs the buttons and the buttons and buttons and button and button,installs_VBZ the_DT buttons_NNS and_CC the_DT buttons_NNS and_CC buttons_NNS and_CC button_NN and_CC button_NN,1.0,-2.0,0.09,0.08
,public LogicalExpression getRhs() throws IOException { return (LogicalExpression)plan.getSuccessors(this).get(2); },get the right hand side of this expression,get_VB the_DT right_JJ hand_NN side_NN of_IN this_DT expression_NN ,returns the expression of the expression,returns_VBZ the_DT expression_NN of_IN the_DT expression_NN ,1.0,-2.0,0.09,0.36
,public Information withOperationInformation(OperationInformation... values) { for (OperationInformation value: values) { getOperationInformation().add(value); } return this; },sets the value of the operationinformation property,sets_VBZ the_DT value_NN of_IN the_DT operationinformation_NN property_NN,returns an instance of the information about the information,returns_VBZ an_DT instance_NN of_IN the_DT information_NN about_IN the_DT information_NN,1.0,-2.0,0.09,0.33
,public void reset() { text.setToStart(); currentIndex=nextIndex=0; clearBuffer(); },reset the index to the beginning of the text this is equivalent to setindexonly(startindex)),reset_VBD the_DT index_NN to_IN the_DT beginning_NN of_IN the_DT text_NN this_DT is_VBZ equivalent_JJ to_IN setindexonly_NN (_-LRB- startindex_NN )_-RRB- )_-RRB- ,resets the current state to the next set of the next call to the next method and,resets_VBZ the_DT current_JJ state_NN to_IN the_DT next_JJ set_NN of_IN the_DT next_JJ call_NN to_IN the_DT next_JJ method_NN and_CC,1.0,-2.0,0.09,0.35
,public boolean isWindowDef() { return windowDef; },learns if the window was set,learns_VBZ if_IN the_DT window_NN was_VBD set_VBN,returns whether this is a window window,returns_NNS whether_IN this_DT is_VBZ a_DT window_NN window_NN,1.0,4.0,0.64,0.14
,private void setupTextFiles() { m_products.createTextFile(); m_customers.createTextFile(); },sets up all text files for the test database,sets_NNS up_RP all_DT text_NN files_NNS for_IN the_DT test_NN database_NN,setup the text to be used for the user,setup_NN the_DT text_NN to_TO be_VB used_VBN for_IN the_DT user_NN,1.0,2.0,0.45,0.33
,public NamespaceFragmentRoot getNamespaceFragmentRoot() { return (NamespaceFragmentRoot) getAncestor(IPHPElement.0MESPACE_FRAGMENT_ROOT); },find enclosing package fragment root if any,find_VB enclosing_VBG package_NN fragment_NN root_NN if_IN any_DT,returns the root root of the,returns_VBZ the_DT root_NN root_NN of_IN the_DT,1.0,-2.0,0.09,0.14
,"public void setPixel(int x, int y, int iArray[]) { sampleModel.setPixel(x - sampleModelTranslateX, y - sampleModelTranslateY, iArray, dataBuffer); }",sets an integer array of samples for the specified pixel in this writableraster,sets_NNS an_DT integer_NN array_NN of_IN samples_NNS for_IN the_DT specified_VBN pixel_NN in_IN this_DT writableraster_NN,set the pi var el pi var el pi var el pi var el pi var el,set_VBN the_DT pi_NN var_NN el_NNP pi_NNP var_NN el_NNP pi_NNP var_NN el_NNP pi_NNP var_NN el_NNP pi_NNP var_NN el_NNP,1.0,-2.0,0.09,0.06
,"public byte getByte(String key) { unparcel(); return getByte(key, (byte) 0); }","returns the value associated with the given key, or (byte) 0 if no mapping of the desired type exists for the given key","returns_VBZ the_DT value_NN associated_VBN with_IN the_DT given_VBN key_NN ,_, or_CC (_-LRB- byte_NN )_-RRB- 0_CD if_IN no_DT mapping_NN of_IN the_DT desired_VBN type_NN exists_VBZ for_IN the_DT given_VBN key_NN ",get the byte value of the given var as a byte if the var is not a byte returns the var is null,get_VB the_DT byte_NN value_NN of_IN the_DT given_VBN var_NN as_IN a_DT byte_NN if_IN the_DT var_NN is_VBZ not_RB a_DT byte_NN returns_VBZ the_DT var_NN is_VBZ null_JJ,1.0,-2.0,0.09,0.39
,public void goBack() { goBackOrForward(-1); },go back in the history of this webview,go_VB back_RB in_IN the_DT history_NN of_IN this_DT webview_NN,back back to the previous page,back_RB back_RB to_IN the_DT previous_JJ page_NN ,1.0,-2.0,0.09,0.24
,public void setPath(Path path) { mPath = path.toString(); },"sets the value of the ""path"" attribute","sets_VBZ the_DT value_NN of_IN the_DT ""_`` path_NN ""_'' attribute_NN ",sets the path to the path of the path are not relative to the path of the path,sets_VBZ the_DT path_NN to_IN the_DT path_NN of_IN the_DT path_NN are_VBP not_RB relative_JJ to_IN the_DT path_NN of_IN the_DT path_NN,1.0,-2.0,0.09,0.22
,"public StringBuilder append(CharSequence csq, int start, int end) { append0(csq, start, end); return this; }","appends the string representation of the specified subsequence of the if the is , then the string is used to extract the subsequence from","appends_VBZ the_DT string_NN representation_NN of_IN the_DT specified_VBN subsequence_NN of_IN the_DT if_IN the_DT is_VBZ ,_, then_RB the_DT string_NN is_VBZ used_VBN to_TO extract_VB the_DT subsequence_NN from_IN",app var s the var pecified character var var in the given var tring,app_NN var_NN s_VBZ the_DT var_NN pecified_VBN character_NN var_NN var_NN in_IN the_DT given_VBN var_NN tring_VBG ,1.0,-2.0,0.09,0.07
,public InnerClassList getInnerClasses() { return innerClasses; },"gets the list of ""inner class"" entries associated with this instance","gets_VBZ the_DT list_NN of_IN ""_`` inner_JJ class_NN ""_'' entries_NNS associated_VBN with_IN this_DT instance_NN",get the inner inner class,get_VB the_DT inner_JJ inner_JJ class_NN,1.0,-2.0,0.09,0.06
,public AnnotationsList getParameterAnnotations(CstMethodRef method) { return annotationsDirectory.getParameterAnnotations(method); },"gets the parameter annotations for a given method, if any this is meant for use by debugging dumping code","gets_VBZ the_DT parameter_NN annotations_NNS for_IN a_DT given_VBN method_NN ,_, if_IN any_DT this_DT is_VBZ meant_VBN for_IN use_NN by_IN debugging_VBG dumping_VBG code_NN",returns the list of annotations for this var are not supported are not supported,returns_VBZ the_DT list_NN of_IN annotations_NNS for_IN this_DT var_NN are_VBP not_RB supported_VBN are_VBP not_RB supported_VBN,1.0,-2.0,0.09,0.2
,public void setClasspath(Path classpath) { createClasspath().append(classpath); },set the optional classpath to the xsl processor, set_VBD the_DT optional_JJ classpath_NN to_IN the_DT xsl_NN processor_NN,adds a var to the classpath and classpath and,adds_VBZ a_DT var_NN to_IN the_DT classpath_NN and_CC classpath_NN and_CC,1.0,-2.0,0.09,0.33
,"private String basename(String fileName) { if (end == 0) { end = fileName.length(); } return fileName.substring(start, end); }",returns the file name (excluding directories and extension),returns_VBZ the_DT file_NN name_NN (_-LRB- excluding_VBG directories_NNS and_CC extension_NN )_-RRB-,returns the string of the given var and end of the end,returns_VBZ the_DT string_NN of_IN the_DT given_VBN var_NN and_CC end_NN of_IN the_DT end_NN,1.0,-2.0,0.09,0.25
,public Iterator4 iterator(){ return hashtableIterator(); },iterates through all the,iterates_VBZ through_IN all_PDT the_DT,returns an iterator over the elements in this list in the list,returns_VBZ an_DT iterator_NN over_IN the_DT elements_NNS in_IN this_DT list_NN in_IN the_DT list_NN,1.0,4.0,0.64,0.08
,"public void moveUpCandidateButtonPressed() { if (candidatesTable.getEditingRow() == -1) { int idx = candidatesTable.getSelectedRow(); if (idx > 0) { int newIdx = idx - 1; tableModel.moveRow( idx, newIdx ); candidatesTable.clearSelection(); candidatesTable.addRowSelectionInterval( newIdx, newIdx ); } } }",moves the current candidate up one,moves_NNS the_DT current_JJ candidate_NN up_IN one_CD,move down row up row up up up up up up up up up down,move_VB down_RB row_VB up_RP row_NN up_RP up_RB up_RB up_RB up_RB up_RB up_RB up_RB up_RB down_RB,1.0,-2.0,0.09,0.07
